time,beamID,lineOfSightWindSpeed1,lineOfSightWindSpeed2,lineOfSightWindSpeed3,lineOfSightWindSpeed4,lineOfSightWindSpeed5,lineOfSightWindSpeed6,lineOfSightWindSpeed7,lineOfSightWindSpeed8,lineOfSightWindSpeed9,lineOfSightWindSpeed10,isValid1,isValid2,isValid3,isValid4,isValid5,isValid6,isValid7,isValid8,isValid9,isValid10
0.0,1.0,16.153167807418114,15.596385091062334,16.139153688294858,16.33888783063288,16.314007359384068,16.68371457171739,16.799016067226297,16.149580371035338,17.001304570643764,16.43931559308976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.25,2.0,17.118358116419966,18.5807912422571,17.59833540252556,16.067085420436214,14.11912349687852,13.592789282359092,12.68311208758803,14.015860885695625,16.012714713825286,16.940476811125084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,4.0,15.651198494265778,17.42167430154631,16.85079417468186,17.875291669190638,18.42699425821392,18.44135346376373,17.877177054309875,18.930587687045804,17.61842007299958,18.419419106678774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,16.13692133162241,15.230170460204016,16.582362131810143,16.22277160943739,16.51975764860019,17.512314594323705,17.423275949796505,16.62908330520728,17.5412582269048,17.43772732867443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.25,2.0,17.74662060011322,18.203770263916233,17.0815876847651,15.469968376397016,15.265125954062572,16.1713113313558,15.730930006054962,16.251880638751725,16.358748704659856,16.529520454848818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.5,3.0,17.90856556557152,15.863839389636864,15.71620892926656,15.526492871877238,16.625477222015068,15.818541225763642,16.710984199375652,15.866632102265623,14.80035757594901,15.182686507320653,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.75,4.0,16.00787879508684,17.67871609298007,16.112289854597286,18.109197854285068,17.729672530184978,17.826660604085408,17.823247367723983,17.141470774917,17.233985915442663,17.4621698788273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,3.0,17.762952316988244,15.529923940543343,15.036418644658944,14.830612511511909,15.392498515487874,14.631130093624842,15.642677975386992,15.09638284426419,13.737385586674653,14.92438410993954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.75,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,15.778582582724518,15.483081116855377,14.267955861119475,15.88253166334172,16.84033866491915,17.43405728010699,16.38357146828105,16.131062105508494,15.942730638978697,16.323665212573765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.25,2.0,16.972973014267787,15.154320918343693,14.274345759696784,13.502664382568028,16.64435908633186,17.478005513038795,17.050349994246503,17.638546245401056,17.50622594998234,17.325638763948618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
