time,beamID,lineOfSightWindSpeed1,isValid1
0.0,1.0,17.997737440223123,1.0
0.02,2.0,19.666234519493194,1.0
0.04,3.0,18.564728602183294,1.0
0.06,4.0,18.53207191029958,1.0
0.08,5.0,18.22806518356429,1.0
0.1,6.0,17.892385627552322,1.0
0.12,7.0,19.114503772903088,1.0
0.14,8.0,18.084266242742252,1.0
0.16,9.0,17.92451273137849,1.0
0.18,10.0,16.569872244309416,1.0
0.2,11.0,17.31175352726489,1.0
0.22,12.0,17.508647085811578,1.0
0.24,13.0,16.008743589701318,1.0
0.26,14.0,0.0,0.0
0.28,15.0,0.0,0.0
0.3,16.0,0.0,0.0
0.32,17.0,0.0,0.0
0.34,18.0,0.0,0.0
0.36,19.0,0.0,0.0
0.38,20.0,0.0,0.0
0.4,21.0,0.0,0.0
0.42,22.0,0.0,0.0
0.44,23.0,0.0,0.0
0.46,24.0,0.0,0.0
0.48,25.0,0.0,0.0
0.5,26.0,0.0,0.0
0.52,27.0,0.0,0.0
0.54,28.0,0.0,0.0
0.56,29.0,0.0,0.0
0.58,30.0,0.0,0.0
0.6,31.0,0.0,0.0
0.62,32.0,0.0,0.0
0.64,33.0,21.02445118903127,1.0
0.66,34.0,21.27004800413111,1.0
0.68,35.0,21.07988634651922,1.0
0.7000000000000001,36.0,21.798798264696757,1.0
0.72,37.0,21.897797835716833,1.0
0.74,38.0,20.952725283327815,1.0
0.76,39.0,21.187710968019005,1.0
0.78,40.0,20.59786050508459,1.0
0.8,41.0,20.34338616044062,1.0
0.8200000000000001,42.0,20.14308637771495,1.0
0.84,43.0,17.688147998466437,1.0
0.86,44.0,17.598316222340117,1.0
0.88,45.0,17.2973091918441,1.0
0.9,46.0,17.24222851190224,1.0
0.92,47.0,17.976509000721443,1.0
0.9400000000000001,48.0,18.154693709661743,1.0
0.96,49.0,17.45989150950134,1.0
0.98,50.0,16.907589722327334,1.0
1.0,1.0,17.194227280576545,1.0
1.02,2.0,19.33138801988534,1.0
1.04,3.0,18.150652446796943,1.0
1.06,4.0,17.958954370380518,1.0
1.08,5.0,16.953629875624387,1.0
1.1,6.0,17.988466045302378,1.0
1.12,7.0,18.95078158962339,1.0
1.1400000000000001,8.0,18.01247578094569,1.0
1.16,9.0,17.684836712574423,1.0
1.18,10.0,15.960609445743382,1.0
1.2,11.0,16.237018789188983,1.0
1.22,12.0,16.673679456191316,1.0
1.24,13.0,15.987509775034017,1.0
1.26,14.0,15.98867559972784,1.0
1.28,15.0,18.598406212401223,1.0
1.3,16.0,19.182884840774364,1.0
1.32,17.0,18.706190098592668,1.0
1.34,18.0,17.733604260006153,1.0
1.36,19.0,18.473072399184613,1.0
1.3800000000000001,20.0,18.117679483008843,1.0
1.4000000000000001,21.0,18.870015386097002,1.0
1.42,22.0,19.299760945531514,1.0
1.44,23.0,19.7019754539945,1.0
1.46,24.0,18.281391621106238,1.0
1.48,25.0,19.809416216879054,1.0
1.5,26.0,20.632144082413724,1.0
1.52,27.0,20.72538008016545,1.0
1.54,28.0,20.135306951359635,1.0
1.56,29.0,19.778958629214067,1.0
1.58,30.0,20.996776833810426,1.0
1.6,31.0,20.958545737800176,1.0
1.62,32.0,21.00514059213425,1.0
1.6400000000000001,33.0,19.813017436247932,1.0
1.6600000000000001,34.0,20.085525424283322,1.0
1.68,35.0,20.76278538339377,1.0
1.7,36.0,21.88951074426622,1.0
1.72,37.0,21.197305133080576,1.0
1.74,38.0,21.48154382570003,1.0
1.76,39.0,21.395772645467748,1.0
1.78,40.0,21.17669352897832,1.0
1.8,41.0,19.500732236008538,1.0
1.82,42.0,19.906623020493292,1.0
1.84,43.0,17.28506032608323,1.0
1.86,44.0,17.636599933612278,1.0
1.8800000000000001,45.0,17.939200842309962,1.0
1.9000000000000001,46.0,17.296757294054256,1.0
1.92,47.0,0.0,0.0
1.94,48.0,0.0,0.0
1.96,49.0,0.0,0.0
1.98,50.0,0.0,0.0
2.0,1.0,0.0,0.0
2.02,2.0,0.0,0.0
2.04,3.0,0.0,0.0
2.06,4.0,0.0,0.0
2.08,5.0,0.0,0.0
2.1,6.0,0.0,0.0
2.12,7.0,0.0,0.0
2.14,8.0,0.0,0.0
2.16,9.0,0.0,0.0
2.18,10.0,0.0,0.0
2.2,11.0,0.0,0.0
2.22,12.0,0.0,0.0
2.24,13.0,0.0,0.0
2.2600000000000002,14.0,0.0,0.0
2.2800000000000002,15.0,0.0,0.0
2.3000000000000003,16.0,0.0,0.0
2.32,17.0,18.912516646887042,1.0
2.34,18.0,17.89282746572385,1.0
2.36,19.0,18.783864636944607,1.0
2.38,20.0,18.95249887754512,1.0
2.4,21.0,19.413483627569672,1.0
2.42,22.0,19.06283245768348,1.0
2.44,23.0,19.687419668098002,1.0
2.46,24.0,19.136419778494446,1.0
2.48,25.0,17.871143589258036,1.0
2.5,26.0,21.139537772406214,1.0
2.52,27.0,21.280501326340634,1.0
2.54,28.0,19.03399656551328,1.0
2.56,29.0,20.34205898202685,1.0
2.58,30.0,20.42263655966324,1.0
2.6,31.0,20.065373866456568,1.0
2.62,32.0,0.0,0.0
2.64,33.0,0.0,0.0
2.66,34.0,0.0,0.0
2.68,35.0,0.0,0.0
2.7,36.0,0.0,0.0
2.72,37.0,0.0,0.0
2.74,38.0,0.0,0.0
2.7600000000000002,39.0,21.54658551097104,1.0
2.7800000000000002,40.0,21.115853087500817,1.0
2.8000000000000003,41.0,20.354746259154556,1.0
2.82,42.0,20.105437170888024,1.0
2.84,43.0,18.17406417047659,1.0
2.86,44.0,17.877955317781776,1.0
2.88,45.0,18.488868393000892,1.0
2.9,46.0,17.71722069504576,1.0
2.92,47.0,17.358084892175512,1.0
2.94,48.0,17.152353283156224,1.0
2.96,49.0,17.17313954272504,1.0
